content_type,content_category,dates,sentiment,score
photo,Studying,"2020-11-07 00:00:00",negative,0
photo,Studying,"2021-06-17 00:00:00",negative,10
photo,Studying,"2021-04-18 00:00:00",negative,15
photo,Studying,"2021-01-06 00:00:00",negative,0
photo,Studying,"2020-08-23 00:00:00",positive,30
photo,Studying,"2020-12-07 00:00:00",neutral,35
photo,Studying,"2021-04-11 00:00:00",positive,70
photo,Studying,"2021-01-27 00:00:00",negative,5
photo,Studying,"2021-04-01 00:00:00",neutral,35
photo,Studying,"2020-08-04 00:00:00",positive,65
photo,Studying,"2020-11-07 00:00:00",neutral,20
photo,Studying,"2020-11-02 00:00:00",negative,15
photo,Studying,"2020-11-01 00:00:00",positive,30
photo,Studying,"2020-10-07 00:00:00",negative,5
photo,Studying,"2020-09-03 00:00:00",negative,15
photo,Studying,"2021-02-24 00:00:00",positive,75
photo,Studying,"2020-09-23 00:00:00",neutral,35
photo,Studying,"2021-02-24 00:00:00",neutral,20
photo,Studying,"2021-05-22 00:00:00",positive,30
photo,Studying,"2021-01-31 00:00:00",positive,45
photo,Studying,"2020-11-20 00:00:00",neutral,35
photo,Studying,"2021-04-11 00:00:00",negative,12
photo,Studying,"2021-06-13 00:00:00",positive,50
photo,Studying,"2021-04-11 00:00:00",positive,60
photo,Studying,"2021-03-02 00:00:00",negative,12
photo,Studying,"2020-06-27 00:00:00",negative,5
photo,Studying,"2021-05-09 00:00:00",negative,5
photo,Studying,"2020-08-04 00:00:00",positive,70
photo,Studying,"2020-08-28 00:00:00",positive,75
photo,Studying,"2020-08-25 00:00:00",positive,45
photo,Studying,"2021-04-20 00:00:00",negative,15
photo,Studying,"2021-03-07 00:00:00",positive,30
photo,Studying,"2021-05-24 00:00:00",neutral,20
photo,Studying,"2021-01-24 00:00:00",positive,75
photo,Studying,"2021-04-09 00:00:00",negative,0
photo,Studying,"2021-02-02 00:00:00",positive,75
photo,Studying,"2021-02-04 00:00:00",positive,30
photo,Studying,"2020-11-09 00:00:00",negative,10
photo,Studying,"2020-09-29 00:00:00",negative,15
photo,Studying,"2020-11-29 00:00:00",negative,10
photo,Studying,"2021-02-13 00:00:00",positive,70
photo,Studying,"2020-07-14 00:00:00",positive,30
photo,Studying,"2020-08-23 00:00:00",neutral,20
photo,Studying,"2021-05-10 00:00:00",negative,12
photo,Studying,"2021-03-15 00:00:00",negative,5
photo,"healthy eating","2020-06-25 00:00:00",negative,10
photo,"healthy eating","2020-09-13 00:00:00",positive,45
photo,"healthy eating","2020-08-20 00:00:00",neutral,35
photo,"healthy eating","2021-02-11 00:00:00",negative,15
photo,"healthy eating","2021-03-08 00:00:00",negative,5
photo,"healthy eating","2021-03-28 00:00:00",negative,0
photo,"healthy eating","2021-05-25 00:00:00",negative,5
photo,"healthy eating","2021-03-15 00:00:00",positive,50
photo,"healthy eating","2021-05-05 00:00:00",positive,65
